Reg charity number,Sub charity number,Charity name,Date registered,Status,Date for financial year ending,Total income,Total spending,Charitable spending,Income generation and governance,Retained for future use,Public address,Website,Email,Telephone,Company number,What the charity does,Who the charity helps,How the charity works,
100027,0,Mencap Strule Buzz Group,09/04/2014,Due documents received late,04 April 2016,348,425,0,0,0,"Omagh Community House, 2 Drumragh Avenue, Omagh, Co Tyrone., BT78 1DP",,mencapni@mencap.org.uk,028 82259249,0,"The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Carers,Learning disabilities,Parents","Advice/advocacy/information,Counselling/support,Disability,Human rights/equality,Sport/recreation",
100028,0,Portadown Pentecostal Fellowship,14/05/2014,In default,,0,0,0,0,0,"86-88 Bridge Street, Portadown., BT63 5AE",,portadownpentecostalfellowship@live.co.uk,02838331328,0,"The prevention or relief of poverty,The advancement of religion,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Carers,Children (5-13 year olds),Ethnic minorities,Ex-offenders and prisoners,General public,Homelessness,Learning disabilities,Mental health,Older people,Parents,Physical disabilities,Preschool (0-5 year olds),Sensory disabilities,Unemployed/low income,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Counselling/support,Cross-border/cross-community,Cultural,Disability,General charitable purposes,Playgroup/after schools,Relief of poverty,Religious activities,Welfare/benevolent,Youth development",
100029,0,Vibe,06/03/2014,Due documents received late,31 March 2016,47470,23853,0,0,0,"214 Dundrum Road, Keady, Armagh., BT60 2SB",www.vibeni.com,info@vibeni.com,028 37539235,0,"The prevention or relief of poverty,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Men,Older people,Parents,Preschool (0-5 year olds),Women,Youth (14-25 year olds)","Arts,Community development,Counselling/support,Cross-border/cross-community,General charitable purposes,Religious activities,Sport/recreation,Youth development",
100030,0,Jcp Trust Limited,05/03/2014,Up-to-date,30 September 2016,154919,144043,0,0,0,"Johnston Campbell Ltd, 8 Cromac Place, Belfast., BT7 2JB",,,02890 221010,31631,The advancement of religion,"Overseas/developing countries,Parents,Voluntary and community sector,Youth (14-25 year olds)","General charitable purposes,Relief of poverty,Religious activities,Sport/recreation,Welfare/benevolent",
100031,0,Handful Productions,06/03/2014,Up-to-date,06 April 2016,0,0,0,0,0,"33 Dunfield Terrace, Londonderry., BT472ES",,felicitymccall@hotmail.com,07548985696,0,"The advancement of the arts, culture, heritage or science","Addictions (drug/solvent/alcohol abuse),General public,Homelessness,Unemployed/low income","Arts,Community development,Human rights/equality",
100032,0,Ni 4X4 Response Network,08/04/2014,Up-to-date,31 December 2015,1751,348,0,0,0,"40 Maryville Park, Bangor, County Down., BT20 3RJ",www.4x4response-ni.co.uk,info@4x4response-ni.co.uk,07802660550,0,"The advancement of health or the saving of lives,The advancement of environmental protection or improvement","General public,Older people,Voluntary and community sector,Volunteers","Community transport,General charitable purposes,Search and rescue,Volunteer development",
100033,0,Dreamscheme Northern Ireland,05/03/2014,Up-to-date,31 March 2016,58387,86781,0,0,0,"77A Saintfield Road, Belfast, BT8 7HN",www.dreamschemeni.org,billy.mcclean@dreamschemeni.org,07871 133637,618264,The advancement of education,"Community safety/crime prevention,Specific areas of deprivation,Youth (14-25 year olds)","Advice/advocacy/information,Education/training,Sport/recreation,Youth development",
100034,0,Creggan Older Peoples Snooker Club,16/04/2014,Up-to-date,31 March 2016,8055,5231,0,0,0,"139 Glenowen Park, Londonderry., BT48 OLH",,,02871 367666,0,"The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",Older people,Sport/recreation,
100036,0,Unit T,26/03/2014,Up-to-date,06 September 2016,11045,13934,0,0,0,"18C Railway Street, Newcastle, County Down., BT33 0AL",,unittgroup@gmail.com,07549787517,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The advancement of environmental protection or improvement,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Adult training,Carers,Children (5-13 year olds),Community safety/crime prevention,Ethnic minorities,Ex-offenders and prisoners,General public,Learning disabilities,Men,Mental health,Older people,Parents,Physical disabilities,Preschool (0-5 year olds),Sensory disabilities,Specific areas of deprivation,Unemployed/low income,Victim support,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Arts,Community development,Community enterprise,Counselling/support,Cross-border/cross-community,Cultural,Disability,Education/training,Environment/sustainable development/conservation,Playgroup/after schools,Relief of poverty,Rural development,Sport/recreation",
100037,0,Serve In Solidarity Ireland,28/04/2014,Due documents received late,31 January 2016,68669,100507,0,0,0,"Clonard Monastery, Clonard Gardens, Belfast., BT13 2RL",www.serve.ie,info@serve.ie,02890232980,73601,"The prevention or relief of poverty,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","Children (5-13 year olds),Hiv/aids,Overseas/developing countries,Volunteers,Women,Youth (14-25 year olds)","Grant making,Human rights/equality,Overseas aid/famine relief,Volunteer development",
100038,0,North Belfast Housing Association Limited,18/03/2014,Up-to-date,31 March 2016,5563349,3898101,0,0,0,"Nb Housing, Gatelodge, 8 Flax Street, Belfast, BT14 7EQ",www.nb-housing.org,info@nb-housing.org,028 9059 2110,406,"The prevention or relief of poverty,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Adult training,Children (5-13 year olds),General public,Homelessness,Men,Older people,Physical disabilities,Tenants,Unemployed/low income,Women,Youth (14-25 year olds)","Accommodation/housing,Disability,Relief of poverty",
100039,0,Off The Cuff Community Theatre Group,20/03/2014,Up-to-date,31 March 2017,9346,4534,0,0,0,"12 Ballyscullion Lane Bellaghy, Magherafelt., BT45 8NQ",,mag12@btinternet.com,02879386675,0,"The advancement of education,The advancement of the arts, culture, heritage or science","Adult training,Ethnic minorities,General public,Mental health,Specific areas of deprivation,Voluntary and community sector,Volunteers","Arts,Community development,Cultural,Education/training,Rural development,Volunteer development",
100040,0,Actions Not Words,13/03/2014,Up-to-date,30 June 2016,100916,68908,0,0,0,"25 Brerton Crescent, Belfast, BT8 6QD",www.actionsnotwordskenya.com,donation@actionsnotwordskenya.com,07970181011,619072,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives","Children (5-13 year olds),Overseas/developing countries,Preschool (0-5 year olds),Youth (14-25 year olds)","Education/training,General charitable purposes,Overseas aid/famine relief,Relief of poverty",
100041,0,Kids Kabin Drumaroad Ltd,08/05/2014,Up-to-date,31 August 2016,54997,44604,0,0,0,"21 Chapel Lane, Castlewellan, BT31 9PQ",,kidskabinsageone@gmail.com,02844812924,0,The advancement of education,"Parents,Preschool (0-5 year olds)","Education/training,Playgroup/after schools",
100042,0,Street Safe Ardglass Group,14/04/2014,Up-to-date,16 December 2016,350,385,0,0,0,"10 Quay Street, Ardglass, BT30 7SA",,streetsafegroup@hotmail.com,+442844841979,0,"The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Community safety/crime prevention,Ethnic minorities,General public,Older people,Voluntary and community sector,Youth (14-25 year olds)","Community development,Counselling/support,Cultural,Education/training,Environment/sustainable development/conservation,Heritage/historical,Volunteer development,Youth development",
100045,0,Belfast Butterfly Club,18/03/2014,Up-to-date,31 March 2016,6495,4080,0,0,0,"Po Box 210, Belfast., BT1 1BG",www.belfastbutterflyclub.co.uk,trans@belfastbutterflyclub.co.uk,07704799352,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","General public,Men,Mental health,Women","Advice/advocacy/information,Counselling/support,Education/training,Gender,Human rights/equality,Medical/health/sickness,Research/evaluation,Volunteer development",
100046,0,Tandem Walking Group Plus,18/03/2014,Up-to-date,31 March 2016,7182,6382,0,0,0,"7 The Boundaries, Gilford Rd, Lurgan, Co Armagh., BT66 7GG",,,02838 344998,0,"The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Physical disabilities,Volunteers","Medical/health/sickness,Volunteer development",
100047,0,The Big House (Ireland),19/01/2015,Up-to-date,31 January 2016,43441,58936,0,0,0,"The Big House (Ireland), First Floor, 12-14 Elmwood Avenue, Belfast, BT9 6AY",www.thebighouse.org.uk,info@thebighouse.org.uk,028 9066 4300,67915,"The prevention or relief of poverty,The advancement of education,The advancement of religion,Other charitable purposes","Adult training,Children (5-13 year olds),Learning disabilities,Mental health,Parents,Physical disabilities,Volunteers,Youth (14-25 year olds)","Advice/advocacy/information,Counselling/support,Education/training,Religious activities,Research/evaluation,Volunteer development,Youth development",
100049,0,Tar Isteach,02/04/2014,Up-to-date,31 December 2015,164608,137004,0,0,0,"244 Antrim Road, Belfast., BT15 2AR",http://tar-isteach.org,info@taristeach.org,02980754967,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","Ex-offenders and prisoners,Specific areas of deprivation,Unemployed/low income,Victim support","Advice/advocacy/information,Counselling/support,Education/training,Human rights/equality,Relief of poverty,Research/evaluation,Youth development",
100051,0,Assembly Testimony Magazine,29/07/2014,Up-to-date,31 December 2015,36335,48432,0,0,0,"11 Beverley Road, Newtownards, County Down., BT23 7TW",http://www.assemblytestimony.org,at@imckee.free-online.co.uk,028 91817351,0,The advancement of religion,"General public,Men,Older people,Overseas/developing countries,Parents,Women","Advice/advocacy/information,Education/training,Religious activities",
100052,0,Harvest City Church,22/07/2014,Up-to-date,31 October 2016,84335,80813,0,0,0,"39 Derryraine Road, Collone, Armagh., BT60 1NA",www.hccarmagh.com,imccall@toucansurf.com,02837526414,0,The advancement of religion,Homelessness,Religious activities,
100053,0,The 1St Old Boys Silver Band,19/05/2014,Up-to-date,31 December 2015,18599,20726,0,0,0,"20-22 Donegal Street, Belfast, BT1 2GP",www.1stoldboys.co.uk,nigelhylands@gmail.com,07967155117,0,"The advancement of education,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science","Children (5-13 year olds),General public,Men,Older people,Women,Youth (14-25 year olds)","Arts,Community development,Education/training,Youth development",
100054,0,Caring About Recovery From Eating Disorders (Cared),21/05/2014,In default,,0,0,0,0,0,"14 Kilbright Road, Carrowdore, Newtownards, County Down., BT22 2HQ",,caringaboutrecovery@gmail.com,07732652692,0,"The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,Children (5-13 year olds),Learning disabilities,Men,Mental health,Parents,Women,Youth (14-25 year olds)","Education/training,Medical/health/sickness,Research/evaluation",
100055,0,Termon Community Responders,18/03/2014,Up-to-date,31 March 2016,11949,4287,0,0,0,"31 Camlough Road, Carrickmore, Omagh, County Tyrone., BT7 99PS",,unaquinlivan@yahoo.co.uk,02880760013,0,The advancement of health or the saving of lives,General public,"Community development,Education/training,Medical/health/sickness,Rural development,Volunteer development",
100057,0,Project Zambia,05/09/2014,Up-to-date,31 August 2016,59842,47865,0,0,0,"17 Hopefield Avenue, Belfast., BT15 5AP",www.projectzambia.com,projectzambiamail@yahoo.ie,07791 915336,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development",Overseas/developing countries,"Community development,Education/training,Medical/health/sickness,Overseas aid/famine relief",
100058,0,Mountsandel Christian Fellowship,12/03/2014,Up-to-date,31 January 2016,73938,63570,0,0,0,"180 Mountsandel Road, Coleraine, County Londonderry., BT521TB",www.mountsandelchristianfellowship.org,,028 70352777,0,"The prevention or relief of poverty,The advancement of education,The advancement of religion,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Ethnic minorities,General public,Overseas/developing countries,Parents,Preschool (0-5 year olds),Youth (14-25 year olds)","Education/training,Religious activities,Welfare/benevolent,Youth development",
100059,0,North West Mountain Rescue Team,13/03/2014,Up-to-date,31 March 2016,33964,42953,0,0,0,"24 Glasmullen Road, Glenariffe, Ballymena, BT44 0QZ",www.nwmrt.org,secretary@nwmrt.org,028 21772829,0,The advancement of health or the saving of lives,"Addictions (drug/solvent/alcohol abuse),Adult training,Community safety/crime prevention,Mental health,Older people,Volunteers","Education/training,Search and rescue,Volunteer development",
100061,0,Ballymoney Model Primary School Parent Teacher Association,21/07/2014,Up-to-date,31 August 2016,17001,6529,0,0,0,"76 Duneoin Road, Glarryford, Ballymena, BT44 9HH",,ballymoneymodelpta@gmail.com,07889039225,0,The advancement of education,Children (5-13 year olds),"Cross-border/cross-community,Education/training",
100062,0,The Glens Community Association,19/05/2014,Up-to-date,31 March 2017,103085,104214,0,0,0,"4/5 Glenlea Park, Limavady, Co Londonderry, BT49 0RR",,theglensca@live.co.uk,02877729046,0,"The prevention or relief of poverty,The advancement of education,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Children (5-13 year olds),General public,Older people,Parents,Preschool (0-5 year olds),Specific areas of deprivation,Unemployed/low income,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Counselling/support,Cross-border/cross-community,Education/training,General charitable purposes,Relief of poverty,Volunteer development,Youth development",
100063,0,Strathfoyle Women's Activity Group Ltd,06/05/2014,Due documents received late,31 March 2016,185990,189893,0,0,0,"12 Bawnmore Place, Strathfoyle, Londonderry., BT47 6XP",,strathfoylewomenscentre@hotmail.co.uk,028 7186 0733,42702,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development","Adult training,Mental health,Older people,Preschool (0-5 year olds),Unemployed/low income,Women","Advice/advocacy/information,Community development,Education/training,Relief of poverty,Rural development",
100064,0,Rainbow Health Limited,02/04/2014,Up-to-date,31 March 2016,527230,507401,0,0,0,"The Belfast Business Centre, Cathedral House, 23-31 Waring Street, Belfast, BT1 2DX",www.rainbow-project.org,info@rainbow-project.org,02890319030,30101,"The advancement of education,The advancement of health or the saving of lives,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","Adult training,Hiv/aids,Homelessness,Men,Mental health,Parents,Sexual orientation,Victim support,Volunteers,Women","Advice/advocacy/information,Counselling/support,Education/training,Gender,Human rights/equality,Medical/health/sickness,Research/evaluation,Volunteer development,Youth development",
100066,0,Cullybackey Community Partnership,29/04/2014,Up-to-date,31 December 2015,33422,25415,0,0,0,"48A Shelling Hill Road, Cullybackey, Ballymena, County Antrim., BT42 1NR",,cullybackey@nacn.org,02825881421,54012,"The advancement of education,The advancement of citizenship or community development,The advancement of environmental protection or improvement,Other charitable purposes","General public,Tenants","Community enterprise,Economic development,Environment/sustainable development/conservation",
100067,0,Sestina Music,05/06/2014,Up-to-date,31 December 2016,60926,57471,0,0,0,"Crescent Arts Centre, 2-4 University Road, Belfast, BT7 1NH",sestinamusic.com,sestinaearlymusic@gmail.com,44 07746 717566,621437,"The advancement of education,The advancement of the arts, culture, heritage or science","General public,Youth (14-25 year olds)","Arts,Community development,Cross-border/cross-community,Cultural,Education/training,Heritage/historical,Youth development",
100068,0,The Pat Cullinan Charitable Trust,08/04/2014,Up-to-date,31 March 2016,671,18918,0,0,0,"The Pat Cullinan Charitable Trust, 17 Ballygawley Road, Dungannon, County Tyrone., BT70 1TY",www.thepatcullinancharitabletrust.com,info@thepatcullinancharitabletrust.com,028 87725220,0,"The prevention or relief of poverty,The advancement of education,The advancement of religion","Men,Older people,Volunteers,Women,Youth (14-25 year olds)","Education/training,Grant making,Relief of poverty,Religious activities",
100069,0,Echo Echo Dance Theatre Company,21/03/2014,Up-to-date,31 March 2016,180815,200161,0,0,0,"Echo Echo Dance Theatre Company, Waterloo House, Magazine Street, Londonderry., BT48 6HH",www.echoechodance.com,info@echoechodance.com,442871308883,34042,"The advancement of the arts, culture, heritage or science",General public,"Arts,Cultural",
100070,0,Pal (Preventing Addiction Larne),14/05/2014,Up-to-date,31 March 2016,20878,17732,0,0,0,"First Floor, Moyle Medical Centre, 14A Old Glenarm Road, Larne., Bt401rw, BT40 1RW",www.pallarne.com,pal.larne@yahoo.com,028 28273335,0,The advancement of health or the saving of lives,"Addictions (drug/solvent/alcohol abuse),General public,Men,Mental health,Older people,Parents,Women,Youth (14-25 year olds)","Advice/advocacy/information,Counselling/support,Medical/health/sickness",
100071,0,Restored Ministries,07/04/2014,Up-to-date,31 March 2016,6477,4446,0,0,0,"St. Patricks Parish Centre, 50 Brook Street, Coleraine, County Londonderry., BT52 1PY",www.stpats.co.uk,admin@stpats.co.uk,028 7034 4213,0,"The prevention or relief of poverty,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Homelessness,Unemployed/low income",Relief of poverty,
